"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","RatioAll","Ratio6_7","Ratio15AndOver","Prev_AntigenAll","Prev_Antigen6_7","Prev_Antigen15AndOver","AgEradicated","AgPrevUnder001pc","AgPrevUnder01pc","AgPrevUnder1pc","PrevalenceAll","Prevalence6_7","Eradicated","PrevalenceFagalii","PrevalenceIliili","PrevUnder001pc","PrevUnder01pc","PrevUnder1pc"
"1",2010,"0.55",2,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00354464158415842,0,0,0.0324688287128713,0.00345837366336634,0,0,1
"2",2010,"0.55",2,"DA2+","Default",1,2018,"0.0012-0.00032",6.49999427799776,NA,6.55191746268023,0.0231255472727273,0,0.0317171918181818,0,0,0,0,0.00355699245454545,0,0,0.0316157467272727,0.0033660547,0,0,1
"3",2010,"0.55",2,"DA2+","Default",1,2018,"0.0016-0.00035",6.43591487653529,NA,6.43016597682364,0.0230200822857143,0,0.0315713062857143,0,0,0,0,0.00357107348571429,0,0,0.032643142,0.00334093417142857,0,0,1
"4",2010,"0.55",2,"DA2+","Default",1,2018,"0.002-0.00041",6.40787584162747,NA,6.38067955980777,0.02309041,0,0.0317204221428571,0,0,0,0,0.00360920657142857,0,0,0.0353383445714286,0.003568075,0,0,1
"5",2010,"0.55",2,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00363441427184466,0,0,0.0357297203883495,0.00351276980582524,0,0,1
"6",2010,"0.55",2,"DA2+","Irvine",1,2018,"0.002-0.00041",6.56348356184249,NA,6.46876583474089,0.0230118264285714,0,0.0315330164285714,0,0,0,0,0.00354311135714286,0,0,0.0339213326428571,0.00340487335714286,0,0,1
"7",2010,"0.55",2,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355677356643357,0,0,0.0347385326573427,0.00344287958041958,0,0,1
"8",2010,"0.55",2,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00360076215827338,0,0,0.0329711889928058,0.00352844508633094,0,0,1
"9",2010,"0.55",2,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361025796875,0,0,0.0339701325,0.00349667390625,0,0,1
"10",2010,"0.55",2,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.4381442865669,NA,6.43189177140821,0.0229054654545455,0,0.0313942690909091,0,0,0,0,0.00355180745454545,0,0,0.0334192048181818,0.00352254918181818,0,0,1
"11",2010,"0.55",2,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.44897189418858,NA,6.4540239804258,0.0229836739393939,0,0.0315065393939394,0,0,0,0,0.00355905478787879,0,0,0.0344006823030303,0.00339166290909091,0,0,1
"12",2010,"0.55",2,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.41831632212404,NA,6.45368238263922,0.0229809492857143,0,0.0314964164285714,0,0,0,0,0.00357885257142857,0,0,0.0348756501428571,0.00348759242857143,0,0,1
"13",2010,"0.55",2,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00353474435483871,0,0,0.0331722556451613,0.00342268608064516,0,0,1
"14",2010,"0.55",2,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.41620099746711,NA,6.43935784712938,0.0230086091666667,0,0.0315872275,0,0,0,0,0.00356978583333333,0,0,0.03296220975,0.00340114764166667,0,0,1
"15",2010,"0.55",3,"DA2+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00356201284313725,0,0,0.0337778784313726,0.00337537212745098,0,0,1
"16",2010,"0.55",3,"DA2+","Default",1,2018,"0.0012-0.00032",6.44656921601616,NA,6.41572098425753,0.0229830654545455,0,0.0315103136363636,0,0,0,0,0.00357003672727273,0,0,0.0330143485454545,0.00332906509090909,0,0,1
"17",2010,"0.55",3,"DA2+","Default",1,2018,"0.0016-0.00035",6.4866326171699,NA,6.54439480445631,0.0230597134502924,0,0.0316134754385965,0,0,0,0,0.00354896385964912,0,0,0.0330989364912281,0.00337881719298246,0,0,1
"18",2010,"0.55",3,"DA2+","Default",1,2018,"0.002-0.00041",6.53272907216902,NA,6.46777050607324,0.0230837,0,0.0316781714285714,0,0,0,0,0.0035559895,0,0,0.0336610755,0.00330874121428571,0,0,1
"19",2010,"0.55",3,"DA2+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00352832262135922,0,0,0.0341967654368932,0.00340033737864078,0,0,1
"20",2010,"0.55",3,"DA2+","Irvine",1,2018,"0.002-0.00041",6.42240408656268,NA,6.42243528918443,0.0230066939393939,0,0.0315507560606061,0,0,0,0,0.00355827446969697,0,0,0.0323886587121212,0.00359700272727273,0,0,1
"21",2010,"0.55",3,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00358130676258993,0,0,0.0330003189928058,0.00358473776978417,0,0,1
"22",2010,"0.55",3,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035775012244898,0,0,0.0352805034693878,0.00323847816326531,0,0,1
"23",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035377114516129,0,0,0.0325845575806452,0.00342268661290323,0,0,1
"24",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.37806728349631,NA,6.40643272437262,0.0230345763636364,0,0.0315723290909091,0,0,0,0,0.00357873290909091,0,0,0.0334192042727273,0.00344003427272727,0,0,1
"25",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.4690784478,NA,6.51785582845955,0.0230518018181818,0,0.0316199303030303,0,0,0,0,0.00355459527272727,0,0,0.0343516066666667,0.00340114751515151,0,0,1
"26",2010,"0.55",3,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.52893737040321,NA,6.52225789878682,0.0230013142857143,0,0.0315849657142857,0,0,0,0,0.00354376814285714,0,0,0.03293811,0.00345405745714286,0,0,1
"27",2010,"0.55",3,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003557295,0,0,0.0357842403225806,0.00329648112903226,0,0,1
