"","Parameters","InitPrev","ProbOneGender","ProbBothGender","n","ExtraDiv6"
"18","p1=0.00071; p2=0",0.3,"0.00071","0",97,0
"17","p1=0.00071; p2=0",0.1,"0.00071","0",98,0
"16","p1=0.00071; p2=0",0.03,"0.00071","0",100,0
"15","p1=0.00071; p2=0",0.01,"0.00071","0",100,0
"14","p1=0.00071; p2=0",0.003,"0.00071","0",100,0
"13","p1=0.00071; p2=0",0.001,"0.00071","0",100,0
"12","p1=0.00071; p2=0",3e-04,"0.00071","0",100,0
"11","p1=0.00071; p2=0",1e-04,"0.00071","0",98,0
"10","p1=0.00071; p2=0",5e-05,"0.00071","0",101,0
"27","p1=0.00071; p2=0.00023",0.3,"0.00071","0.00023",101,0
"26","p1=0.00071; p2=0.00023",0.1,"0.00071","0.00023",101,0
"25","p1=0.00071; p2=0.00023",0.03,"0.00071","0.00023",99,0
"24","p1=0.00071; p2=0.00023",0.01,"0.00071","0.00023",99,0
"23","p1=0.00071; p2=0.00023",0.003,"0.00071","0.00023",98,0
"22","p1=0.00071; p2=0.00023",0.001,"0.00071","0.00023",98,0
"21","p1=0.00071; p2=0.00023",3e-04,"0.00071","0.00023",98,0
"20","p1=0.00071; p2=0.00023",1e-04,"0.00071","0.00023",97,0
"19","p1=0.00071; p2=0.00023",5e-05,"0.00071","0.00023",97,0
"36","p1=0.0011; p2=0",0.3,"0.0011","0",98,0
"35","p1=0.0011; p2=0",0.1,"0.0011","0",98,0
"34","p1=0.0011; p2=0",0.03,"0.0011","0",102,0
"33","p1=0.0011; p2=0",0.01,"0.0011","0",102,0
"32","p1=0.0011; p2=0",0.003,"0.0011","0",102,0
"31","p1=0.0011; p2=0",0.001,"0.0011","0",102,0
"30","p1=0.0011; p2=0",3e-04,"0.0011","0",102,0
"29","p1=0.0011; p2=0",1e-04,"0.0011","0",101,0
"28","p1=0.0011; p2=0",5e-05,"0.0011","0",98,0
"45","p1=0.003; p2=0",0.3,"0.003","0",98,0
"44","p1=0.003; p2=0",0.1,"0.003","0",101,0
"43","p1=0.003; p2=0",0.03,"0.003","0",101,0
"42","p1=0.003; p2=0",0.01,"0.003","0",101,0
"41","p1=0.003; p2=0",0.003,"0.003","0",101,0
"40","p1=0.003; p2=0",0.001,"0.003","0",101,0
"39","p1=0.003; p2=0",3e-04,"0.003","0",98,0
"38","p1=0.003; p2=0",1e-04,"0.003","0",105,-1
"37","p1=0.003; p2=0",5e-05,"0.003","0",105,-1
"9","p1=0; p2=0.00023",0.3,"0","0.00023",99,0
"8","p1=0; p2=0.00023",0.1,"0","0.00023",103,0
"7","p1=0; p2=0.00023",0.03,"0","0.00023",100,0
"6","p1=0; p2=0.00023",0.01,"0","0.00023",100,0
"5","p1=0; p2=0.00023",0.003,"0","0.00023",100,0
"4","p1=0; p2=0.00023",0.001,"0","0.00023",100,0
"3","p1=0; p2=0.00023",3e-04,"0","0.00023",100,0
"2","p1=0; p2=0.00023",1e-04,"0","0.00023",99,0
"1","p1=0; p2=0.00023",5e-05,"0","0.00023",97,0
"54","p1=9e-04; p2=0",0.3,"9e-04","0",100,0
"53","p1=9e-04; p2=0",0.1,"9e-04","0",98,0
"52","p1=9e-04; p2=0",0.03,"9e-04","0",102,0
"51","p1=9e-04; p2=0",0.01,"9e-04","0",102,0
"50","p1=9e-04; p2=0",0.003,"9e-04","0",102,0
"49","p1=9e-04; p2=0",0.001,"9e-04","0",102,0
"48","p1=9e-04; p2=0",3e-04,"9e-04","0",102,0
"47","p1=9e-04; p2=0",1e-04,"9e-04","0",101,0
"46","p1=9e-04; p2=0",5e-05,"9e-04","0",104,-1
